searchSlur,Slur,Represents,Reason
bludger,Bludger,Australian Aboriginals,A bludger or more accurately dole-bludger in Australian slang is someone who doesnt work and relies on the government for money (doles). It is the sterotype that all the Mediterraneans and Aborigianals of Australia are bludgers.
bluecollar,Blue collar,Mexicans,Many illegal immigrants take manual labor jobs.
bluegums,Blue Gums,Blacks,Old myth that if one were bitten by a nigger with blue gums they would die.
blue-eyeddevil,Blue-Eyed Devil,Whites,Whites primarily with blue eyes are said to be the most evil. Especially since their skin is so pale it looks scary to others as their blue eyes stare out at them.
bo-bo,Bo-Bo,Blacks,Sounds like a monkeys name or implies stupidty.
boatrower,Boat Rower,Cubans,Many people from Cuba attempt to sneak into the United States via rafts and boats.
bobblehead,Bobblehead,Blacks,Black women have a tendency to violently shake their heads in heated conversations.
boche,Boche,Germans,The French called the Germans this in WWII. Boche is short for alcaboche or cabbage-head.
bodinki,Bodinki,Puerto Ricans,Slur used by Portuguse in Hawaii
boffer/boofer,Boffer/Boofer,Blacks,The Hawaiians or Polynesians call Blacks this name. Same as nigger in the United States.
bog-jumper,Bog-Jumper,Irish,Many bogs in Ireland
bog-trotter,Bog-trotter,Irish,Abundance of bogs in Ireland
