searchSlur,Slur,Represents,Reason
limey,Limey,British,The British Royal Navy supplied a daily ration of lime or lemon juice to their sailors to prevent scurvy.
lincoln'smistake,Lincoln's Mistake,Blacks,US President Abraham Lincoln is known to have freed the slaves.
linthead,Linthead,Whites,Poor working-class whites. Refers to airborne cotton lint in textile plants where low-income whites worked.
lit,Lit,Lithuanians,Shortening of Lithuanian
lithwhack,Lithwhack,Lithuanians,Was used as a nickname for unstable mead-swilling Lithuanians.
little(black)sambo,Little (Black) Sambo,Blacks,As with the Golliwog originated as a relatively benign though mildly offensive characterization and was adapted by other writers to embody many black stereotypes of the time. Currently embodies stereotypes of docility laziness stupidity and disloyalty.
littlebrownbuddy,Little Brown Buddy,Filipinos,FDR referred to them as this.
littlehiroshima,Little Hiroshima,Asians,The United States dropped an atomic bomb on Hiroshima during WW2. The association with the city and asian people in general has stuck. Refers mainly to Japanese.
litvok,Litvok,Lithuanians,Lithuanian Jews. From the Polish word for Lithuania Some Jews do not consider this an insult but ethnic Lithuanians do
liverlips,Liver Lips,Blacks,Self Explanatory
liverlips,Liverlips,Blacks,because it looks like they have liver on thier faces (originates in the southern US)
lobster,Lobster,Whites,White people burn red like lobsters when they spend too long sunbathing.
lobsterback,Lobsterback,British,Redcoats in Revolutionary War.
loby,Loby,Hispanics,Armenian word for beans. Hispanics are known to have a lot of beans in their diet.
locusteater,Locust Eater,Afghans,Locusts are considered to be fine dining in their country they praise allah for about 3 hours if they should be so fortunate as to obtain such a marvelous bounty
lofan,Lofan,Whites,Anglo-Americans. A Chinese word not necessarily derogatory.
lov,Lov,Russians,Many names end in lov
lowlander,Lowlander,Dutch,The Netherlands are below sea level.
lowrider,Lowrider,Hispanics,Refers to lowriders. The tricked out custom cars Hispanic gang members often drive.
lubricano,Lubricano,Mexicans,Variant of greaser.
lucius,Lucius,Blacks,Commonly used on poor black people. During the period prior to the Civil War many blacks were named after famous Romans (e.g. Lucius Marcus Scipio etc.)
lugan,Lugan,Lithuanians,Reasons unknown. Possible origins in the Chicago area.
lugz,Lugz,Blacks,Named after the brand of footwear who's ad campaign is targeted towards blacks.
luigi,Luigi,Italians,Famous Italian videogame plumber. Used to refer to tall thin Italians
lynch-monger,Lynch-monger,Whites,Comes from Whites lynching Blacks before and around US Civil War times.  Monger meaning someone who promotes this practice.
masepoes,Ma Se Poes,Blacks,Comes from the general curse used by Afrikaans-speaking South Africans (mainly coloureds in Cape Town) Jou ma se poes which means Your mother's cunt. Not that common anymore
mac,Mac,Scottish,Common Scottish surname prefix.
macaca,Macaca,Indians,Derived from the word monkey. Famously used by Republican U.S. Senator George Allen during his 2006 re-election campaign.
macaco,Macaco,Brazilians,The Argentinians call Brazilians macacos (monkeys in brazilian portuguese language) because they are more racially mixed. Specially used in soccer confrontations.
macaquito,Macaquito,Brazilians,The Argentinians call Brazilians macaquitos (little monkeys) because they are more racially mixed.
macaroni,Macaroni,Italians,The famous macaroni noodle originated in Italy.
mackerelsnapper,Mackerel Snapper,Irish,It can be applied to any Catholic Irish or otherwise. In the past Catholics were forbidden from eating meat on Fridays. They got around this sort of the same way some vegetarians do by eating fish (although technically this is not vegetarian but pescetarian). Still observed in heavily-Catholic areas (they even have school/church fish-fry Fridays).
maclord,MacLord,Whites,Macintosh users typically caucasians are often haughty and arrogant much like English lords of Olde.
madrasis,Madrasis,Indians,The biggest city in South India used to be called Madras(now Chennai).
maggot,Maggot,Whites,Maggots breed from filth and when the Whites came to America they brought with them rats and diseases therefore wiping out half of the Native American population. Hence the term maggots.
magilagorilla,Magila Gorilla,Blacks,Term for a Huge Fat Black man.
mahout,Mahout,Indians,Literally means Elephant Driver but was turned into a popular racial slur around 1997 when a lot of Indains began to move onto Long Island.
mail-orderbride,Mail-order Bride,Filipinos,The Philippines is one of the biggest sources of mail-order brides.
maize-muncher,Maize-Muncher,Native Americans,Natives are known for there love of corn.
makak,Makak,Moroccan,Makak is some kinda ape. It's a Belgian word.
makaronifresser,Makaronifresser,Italians,German. Fressen is impolite term for eating (people essen but animals fressen).
malabari,Malabari,Malayali/Indian,Popular slang used in the MiddleEast to describe the Malayalam speaking people from Kerala state in India. Malabar which is a part of Kerala used to have economic ties with the MiddleEast because of the spice trade. However the term Malabari is now considered a derogatory word.
malditobori,Maldito Bori,Puerto Ricans,Puerto Ricans come from Boriquen and call themselves Boriquas. Bori is short for that. Maldito is used so commonly before Bori by many other Hispanics because they steal rob kill and smell. Maldito means god-damned.
mammy,Mammy,Blacks,Similar to Aunt Jemima. Stereotype of black women as nannies to white children especially overweight black women - see Gone With The Wind.
mandingo,Mandingo,Blacks,In reference to the 1975 blacksploitation movie with the same name.
mandinka,Mandinka,Blacks,Reference to the motion picture Roots: A Mandinka warrior was a 'Big Black Buck'.
mango,Mango,Hawaiians,Reference to the mongoloid appearance of many Hawaiins and other Pacific islanders.
mangosteen,Mangosteen,Indians,The mangosteen is a fruit that grows in the East Indies and is black on the outside but white on the inside. Refers to Indians who have forgotten their heritage.
mangro-monkey,Mangro-Monkey,Blacks,Monkeys live in mangroves.
manny,Manny,Portuguese,Because it seems nine out of ten Portuguese guys are named Manuel or Manny
manuellabor,Manuel Labor,Mexicans,Mexicans residing in the United States are used predominantly for manual labor. Manuel is a common hispanic name.
mao,Mao,Chinese,From Mao Tse-tung original leader of communist China.
mape,Mape,Canadians,Maple leaf on their flag.
mapleleafnigger,Maple Leaf Nigger,Canadians,Their flag has a maple leaf on it.
maple-sucker,Maple-Sucker,Canadians,Refers to Canadian people and the assumption that they consume lots of maple syrup
mario,Mario,Italians,Famous Italian vidoegame plumber. Used to refer to fat Italians.
maroon,Maroon,Blacks,When the slave ships had a troublemaking slave-to-be they would drop him off on a small island or rock in the middle of the ocean thus 'marooning' him.
marshnigger,Marsh Nigger,Dutch,The Netherlands is a very marshy country
marshmallow,Marshmallow,Whites,A traditional middle-aged caucasian: Soft and White.
marta,MARTA,Blacks,Metro Atlanta Regional Transit Authority. Or as it's sometimes known: Moving Africans Rapidly Through Atlanta.
marthastewart,Martha Stewart,Whites,Means like a bad term for white housewife bored crooked ass homemaker.
mascot,Mascot,Native Americans,Their likeness is often mascots for sports teams
massa,Massa,Whites,Black Southern speech. The Negro slaves addressed their Masters in this way.
matsaleh,Mat Saleh,Whites,Malaysian slur for caucasians.
matza-gobbler,Matza-Gobbler,Jews,Matza is Jewish un-levened bread
matzah,Matzah,Jews,Refers to the Jewish food matzah balls
mavro/mav,Mavro/Mav,Blacks,Greek word for black
mayate,Mayate,Blacks,Hispanic term for 'Nigger.'
mayflower,Mayflower,Whites,American whites. Reference to the ship called Mayflower.
mayonnaise,Mayonnaise,Whites,Skin color.
mcchigger,McChigger,Mixed Races,Irish/Chinese/African American mix
mcgook,McGook,Vietnamese,Soldier in name called them that referring to McDonalds (slaughtered meat)
mckraut,McKraut,Mixed Races,German/Irish person. Used in the Godfather trilogy.
mcnigga,McNigga,Blacks,Reference to McDonald's new line of advertising campaigns marketed towards blacks.
mcnugget,McNugget,Scottish,For scottish or irish children - Mc (or Mac) for scottish/irish nugget to represent that they are children
mcspic,McSpic,Mixed Races,Mixed race of Irish and Hispanics
mcwop,McWop,Mixed Races,Irish/Italian Mick and Wop play on common Irish last names.
md,MD,Whites,Melanin Deficient
mead,Mead,Irish,The Irish are commonly drunk on mead and mead-derived alcohols
meatpie,Meat Pie,Asians,Yellow on the outside black on the inside.
meatball,Meatball,Italians,Self-explanatory
mechanical,Mechanical,Blacks,English rhyming slang - Mechanical digger = Nigger
medwop,Med Wop,Mediterraneans,Self-explanatory.
mehi,Mehi,Mexican,X's (like J's) are pronounced in Spanish like an English H.  Thus this slur is a mockery of their pronounciation.
melanzana,Melanzana,Blacks,Italian for eggplant - very dark black people have a purplish tint to their skin so does eggplant.
mellanoid,Mellanoid,Blacks,Dictionary: one having dark pigmentation.
melonjohnny,Melon Johnny,Blacks,Italian slang for Blacks.
memetis,Memetis,Turks,Greek pronounciation of the Islamic name of Mehmet
memphis,Memphis,Whites,Dirty white trailor trash people normally resemble the population of Memphis TN.
merkin,Merkin,Americans,American pronunciation of American also a pubic wig
meshback,Meshback,Whites,For Rednecks. Refers to the mesh-backed caps they wear
meshky,Meshky,Blacks,Translated into Farsi (Persian language) means black. Used commonly among young white boys as undercover means of saying nigger
mestizo,Mestizo,Hispanics,Specifically Spanish/Native American mixed breed. Not polite but not taboo either. From the Spanish word for mixed.
mexcrement,Mexcrement,Mexicans,Obvious combination of Mexican and excrement
mexi-ho's,Mexi-Ho's,Mexicans,Term to describe Mexican girls who get pregnant at an early age.
mexican't,Mexican't,Mexicans,Based on the stereotype that Mexicans are lazy.
mexicoon,Mexicoon,Mixed Races,Mexican/Black mix.
mexijew,Mexijew,Mixed Races,Mexican/Jewish mix.
meximese,Meximese,Mixed Races,Mexican/Vietnamese
midang,Mi Dang,Blacks,The Vietnamese term for African Americans.
michelli,Michelli,Whites,Commonly used to refer to Whites living in southern United States.
mick/mic/mc,Mick/Mic/Mc,Irish,Many Irish surnames begin with Mc or Mac. Many Irish are also named after the famed Michael Collins making Michael (Mick) a very common name. Not as derogatory as Paddy.
midnight,Midnight,Blacks,Self-explanatory.
migger,Migger,Mexicans,Mexicans/Hispanics who act black.
miguel,Miguel,Mexicans,Stereotypical name for Mexicans
milano,Milano,Mixed Races,Black/White mix. In reference to the cookie.
milk,Milk,Whites,Due to the light color of their skin
milkdud,Milk Dud,Blacks,A black person with a shaved head.
milkhead,Milkhead,Whites,Very white with a big head.  Can be heard in John Waters' Female Trouble
milkman,Milkman,Blacks,Black men who prefer white women. Used by blacks.
milky,Milky,Whites,Referring to their racism and white skin.
mingia,Mingia,Italians,In Sicilian dialect it means 'dick'.
mishwa,Mishwa,Blacks,Means barbequed or grilled in Arabic blacks for their dark skin. Mishweya for females.
misscleo,Miss Cleo,Blacks,A reference to the (in)famous commercial personality.
missingtooth,Missing Tooth,Whites,Redneck whites commonly have missing teeth.
missippitreeemblem,Missippi Tree Emblem,Blacks,Due to when they were hung in the Southern states.
mississippibluelip,Mississippi Blue Lip,Blacks,Old redneck term.
mistercharles,Mister Charles,Vietnamese,Used during the vietnam war referring to VC or Victor Charlie.
mistercharlie,Mister Charlie,Whites,Lying Conniving Untrustworthy white
miyagi,Miyagi,Asians,From the movie The Karate Kid
miyate,Miyate,Blacks,Mexican/Latino slang for minority.
mlk,MLK,Blacks,Pronouced milk made due to misrepresentation of national holidays
mo,Mo,Mexicans,Acronym for Mexican Orderly: Used in jails to refer to mexican trustees.
mo,Mo,Eskimos,Shortened version of Eskimo
moandyo,Mo And Yo,Blacks,2 of the more common sounds they make in their general street slang.
moanback,Moanback,Blacks,From Southern black garbage men giving the driver directions on when to back up (Come on back or 'mon back).
mob,MOB,Americans,Morbidly Obese Bodies on account of Americans are mostly fat (also could be Morbidly Obese Bitches for women)
mocha,Mocha,Arabs,Skin color (not quite black).
mockey,Mockey,Jews,Jews mocked Jesus at his death.
mocro,Mocro,Moroccans,Used by themselves and the Dutch. Originated from Spanish
modernfarmequipment,Modern Farm Equipment,Mexicans,Many Mexicans work in agriculture today.  Evolved from the Antique Farm Equipment slur for Blacks.
moe,Moe,Chinese,Since Chinese always have haircuts that look like Moe from The 3 Stooges
mof/moffen,Mof/Moffen,Germans,Used by the Dutch in the 2nd World War.
mohow,Mohow,Native Americans,Indians have Mohawks & Pow wows.
mojack,Mojack,Icelandics,Military term for Icelandics origin unknown [?]
mojado,Mojado,Hispanics,Means 'wet' or 'dunked' in Spanish. See Mojo
mojo,Mojo,Hispanics,Normally used among Hispanics towards other Hispanics. Mojo derives from mojado meaning wet i.e. wet-backs. Mojados are Mexican citizens while pochos are Mexican-Americans.
moke,Moke,Hawaiians,Refers to how locals in Hawaii are big/fat/dumb. Used by locals similar to how blacks use nigger.
moleckojecko,Molecko Jecko,Egyptians,A term used for an Epygtian young male in America. Molecko Jecko was a character in a comedy who used to come to America just to buy a lifetime supply of milkshakes. Comes from the word Moleckum meaning drink sipper in Arabic.
monday,Monday,Blacks,Nobody likes Mondays.
mongrel,Mongrel,Mixed Races,When dogs of two different breeds breed. The offspring is called a mongrel breed
monkey,Monkey,Blacks,Similar appearance/genetics.
monkeyboy,Monkeyboy,Blacks,People once believed because of their high cranium blacks were close cousins to primates.
mono,Mono,Blacks,A hispanic term for blacks meaning monkey in most dialects.
montana,Montana,Hispanics,Derived from the movie Scarface which stars a cuban immigrant druglord named Tony Montana slur usually said with a Spanish accent
montu,Montu,Blacks,Old African word that refers to tribes people.
mook,Mook,Chinese,A 'mook jonk' is a wooden dummy used in kung fu. Word defined as an ineffectual foolish or contemptible person.
mooliachi,Mooliachi,Blacks,Female version of Mooley. Used in The Godfather.
moolie,Moolie,Blacks,Shortened from Melanzane meaning eggplant in Italian. Eggplants have black skin.
moolignon,Moolignon,Blacks,Italian for eggplant (technically Mulignane). Could be combination of Moolie and hooligan.
mooncricket,Moon Cricket,Blacks,See Cricket. Possibly derived from the MC often used after many black nicknames. Also a possible reference to the minoral aspect of the African race in the United States. A black person(cricket) in a sea of white(the moon).
mooncricket,Moon Cricket,Whites,The slur is also used by some Native Americans against whites: moon as in pale and cricket as in whites have big eyes and gangly legs. Whites also make annoying sounds like crickets.
moor,Moor,Arabs,For the Muslims that invaded Europe during the Middle Ages. Also used as derogatory against those of ancestry where the Moors settled (Spain Sicily) - they are part Moor.
moose,Moose,Koreans,Used by American GIs to refer to Korean whores because of their facial features.
moosefucker,Moosefucker,Canadians,Tom Green a Canadian mocked sexual contact with a moose on his television show.
moron,Moron,Mormons,Similiar words
mortacristo,Morta Cristo,Jews,Italian for 'Christ-killer.'
moses,Moses,Jews,Famous Jew who led his people out of Egypt.
moskal,Moskal,Russians,Used by Ukrainians because of the arrogance of the Moscow citizens
mosquito,Mosquito,Muslims,Reference to Muslims going to mosques.
mosquito,Mosquito,Jews,Jews tend have long noses similar to a mosquito.
mosseater,Moss Eater,Whites,White trash in the Pacific Northwest.
mottisa,Mottisa,Blacks,Back in slave days the Black servants would ask Mo tee Sah which in proper English translates to More tea Sir?
mountainmonkey,Mountain Monkey,Norwegians,Danish slur for Norwegians.  Frequently used at sporting events.
mouse,Mouse,Whites,Used by Blacks to refer to nervous (shook) white people walking through the ghetto.
mow-mow,Mow-Mow,Blacks,Refers to the Mau Mau movement in Kenya  that rose up in protest to the theft of their land by the British. Mau Mau is european-invented name; the Gikuyu people is the Kenyan name.
mozzie,Mozzie,Muslims,Shortend term
mr.big,Mr. Big,Blacks,From Yaphet Kotto's Character in the Bond film Live and Let Die.
mr.bojangles,Mr. Bojangles,Blacks,William Bojangles Robinson was a famous black dancer.
msgfarmers,MSG Farmers,Chinese,The Chinese use a harmful additive M.S.G. in their food to enhance the flavor.
muck,Muck,Eskimos,Short for Eskimuck due to the problems the Eskimo have pronouncing the English language.
muck,Muck,Native Americans,Short for Muckleshoot one of the most stereotypical and despised tribes of the Pacific Northwest
muckadoo,Muckadoo,Blacks,Shawnee Native American term for Mud person
mucker,Mucker,Irish,Used in Boston because Irish immigrants could mostly only find employment helping to fill in the Back Bay which was at the time marsh and water.
mud,Mud,Mixed Races,Black/White mix or white women who date black men
mudduck,Mud Duck,Blacks,Dark skin. See Mud People.
mudflaps,Mud Flaps,Blacks,Black people who have large lips.
mudpeople,Mud People,Blacks,Sentiment that only Wasps are born with souls everyone else God made from mud. Also suggests life without meaning value or worth. Used by the church that was attended by Mr. Smith - the hate killer that shot up a bunch of Jews and Blacks in the summer of '99.
mudshark,Mud Shark,Whites,White girls who date black men.
mudturtle,Mud Turtle,Blacks,Being bottom-feeders; Mud musk turtles have a distinct odor and are mud-colored
mudak,Mudak,Russians,Similar to dumb ass but very explicit.
mudskipper,Mudskipper,Whites,A white woman who dates black men.
mudslide,Mudslide,Mexicans,What a jailbreak of Mexicans looks like.
mufasa,Mufasa,Blacks,James Earl Jones' character from The Lion King.
muffin-head,Muffin-head,Blacks,Reference to the popular black hair style of afro's.
muhammad,Muhammad,Arabs,Common name.
muk/muktuk,Muk/Muktuk,Eskimos,Comes from the main Eskimo food source - Muktuk - whale fat/meat.
muktuk,Muktuk,Eskimos,Muktuk is eskimo for whale blubber
mulan,Mulan,Chinese,Female charater in a chinese story
mule,Mule,Hispanics,Hispanics transport drugs.
mullato,Mullato,Mixed Races,Black/White mix usually. The Spanish Mullato translates to like a mule. Could refer to any mixed breed.
mulletard,Mulletard,Whites,Retarded white trash with a mullet.
mullethead,Mullethead,Whites,Bad hair cut (short on top long in back) rural whites sport fashionably. Could easily be shortened to just mullet.
mulunyan,Mulunyan,Blacks,Italian word for egg plant which is black when uncooked.
mung,Mung,Vietnamese,Vietnamese people that were relocated to America by the US government during and after the Vietnam War. It's actually the correct pronunciation of the word Hmong mountain-dwelling people inhabiting southeastern China and the northern parts of Vietnam Laos and Thailand. Also used derisively to apply to all Asian persons. Also a type of bean/bean sprout used in oriental cuisine.
mungen,Mungen,Chinese,A Tamil word used by the Indians to insult the Chinese
mungiecake,Mungie Cake,Whites,White sponge cake found in Europe.
munt,Munt,Blacks,Rhodesian. Comes from the African word for person
mupp,Mupp,Whites,Refers to white people who are as filthy as a mop.
muppetfucker,Muppetfucker,Whites,Backwoods inbred rednecks of the U.S. south are called muppetfuckers because they look like Muppets.
murray,Murray,Maori,Sounds similar to Māori New Zealand aboriginals.
mushu,Mushu,Asians,Probably from Asian kid on Crank Yankers
musungu,Musungu,Whites,Swahili word for white people
mutt,Mutt,Mixed Races,Any mix of races. The regular use of 'mutt' refers to dogs of mixed breed.
muzzie,Muzzie,Arabs,A lot of Arabs are Muslims. Muslim Muzzie.
myfriend!,My Friend!,Indians,Started by the constant greetings of the clerks of a deli as they greet customers.
mythmaker,Mythmaker,Greeks,Because the Greeks made up myths
n'er,N'er,Blacks,Nonchalant way of saying nigger.
n.e.d.,N.E.D.,Scottish,Non Educated Delinquent.  A major subculture in Scotland NEDs are young criminal men who live off government handouts.
n.l.b.,N.L.B.,Whites,Nigger Loving Bitch. Represents a woman while not of the African race sleeps with those who are.
naca,Naca,Blacks,North American Concrete Ape
nacho,Nacho,Hispanics,Based on the popular snack.
naco,Naco,Hispanics,Native Mexicans. Used as an insult by city dwellers on indigenous small town inhabitants or vulgar people even from the big city.
nade,Nade,Canadians,Shortened form of Canadian. Nades is a 2v1 game of tennis.
naffer,Naffer,Arabs,Naf short for North-African
naga,NAGA,Blacks,North American Ground Ape; Affectionately used by the LAPD during the Watts riot in Los Angeles.
nagasaki,Nagasaki,Japanese,Self explanatory
nagur,Nagur,Blacks,The Irish-Americans called black people Nagurs because they could not pronounce the word Nigger with their accent.
naha,NAHA,Blacks,North American Hairless Apes
nammer,Nammer,Vietnamese,Derived from Vietnam being called Nam.
nanner,Nanner,Blacks,Banana/Monkey/etc related. Also a way to mask the word Nigger
nanner,Nanner,Afghans,Nann is the main bread that Afghans eat.
napa,NAPA,Blacks,Nother American Pavement Apes.
napalm,Napalm,Vietnamese,Napalm was used during the Vietnam war.
napkinnigger,Napkin Nigger,Indians,Obvious reasons.
nappyhead,Nappy Head,Blacks,Refers to hair type.
nappy-headedho,Nappy-headed Ho,Blacks,Black female basketball players (Thanks Don Imus you racist douchebag)
narrowback,Narrow Back,Irish,The son or daughter of an Irish immigrant.
nasa,NASA,African Americans,North American Street Ape
natasha,Natasha,Russians,From the common Slavic woman's name used in Turkey and other countries to refer to East European prostitutes and by extension to any East European woman with the suggestion that they are all whores.
nate,Nate,Native Americans,Shortened. Could probably be used on any native peoples.
nazi,Nazi,Germans,Self-explanatory.
neanderthal,Neanderthal,Scottish,Neanderthals were supposedly discovered in Scotland.
neck,Neck,Whites,Shortened version of 'redneck.'
neechee,Neechee,Native Americans,Love of Lychee fruit.
neekeri/nekru,Neekeri/Nekru,Blacks,Finnish for nigger.
negative,Negative,Blacks,South African - Referred to as undeveloped (as in film negatives).
negress,Negress,Blacks,Black female. Adapted from nigger.
negro,Negro,Blacks,Once acceptable it is now often taken derogatorily by Blacks.
negroid,Negroid,Blacks,Negro + oid; +oid being a general english suffix meaning related to.
negrophiliac,Negrophiliac,Whites,White people with an unhealthly obsession with niggers derived from necrophiliac.
nelly,Nelly,Blacks,Like Mammy. Common black name/character in Antebellum South.
nethead,Nethead,Hispanics,Chicano slur used in L.A. From Mexican boys wearing thin nets to cover their hair.
newyorkmet,New York Met,Hispanics,There are a lot of Hispanics on the Mets.
newfie,Newfie,Canadians,Newfoundlanders. Some of the people from Newfoundland are considered to be less intelligent.
newspaper,Newspaper,Mixed Races,Newspapers are Black & White.
newyorican,Newyorican,Puerto Ricans,Puerto Ricans living in New York
nft,NFT,Blacks,NFT is the name of the MetroBus system in Buffalo the initials came to represent Nigger Freight Train
ni-ni,Ni-ni,Blacks,Used instead of nigger in potentially sensitive company to avoid being overheard or to appear politically correct.
nickelnose,Nickel Nose,Jews,Money and Facial characteristic.
nico/a,Nico/a,Nicaraguans,Non-derogatory Nickname used by themselves and others.
nig-nog,Nig-nog,Blacks,Used in England. Probably from the Dutch niknok (nigger) by way of South Africa.
nigdu,Nigdu,Mixed Races,Nigger + Hindu. Half black half Indian. Also an Indian trying to act black.
niggabyte,Niggabyte,Blacks,A computer geek who happens to be Black.
niggapotomous,Niggapotomous,Blacks,An extremely fat nigger.
nigger,Nigger,Blacks,Most likely originates with the Latin word niger which translates to black. Similar words for black exist in other languages (Spanish for example is negro). Also somewhat relates to the African country Nigeria which is primarily black. Many variations exist including Nig Nigel Niggy Niggly etc. Some interesting history .
nigger,Nigger,Whites,Irony
niggerdigger,Nigger Digger,Whites,A white female who dates black men.
niggermagnet,Nigger Magnet,Whites,White girl with a big ass
niggermortis,Nigger mortis,Blacks,It's like rigor mortis except you're just too lazy to move.
niggerachi,Niggerachi,Blacks,Black person who acts Hispanic
niggerette,Niggerette,Blacks,Black women. Adapted from: Nigger See: Nigger.
niggerican,Niggerican,Mixed Races,Black/Puerto Rican mix.
niggerino,Niggerino,Blacks,A little nigger
niggeroid,Niggeroid,Blacks,Usually light skinned mixed breed black and any other race.
nigglet,Nigglet,Blacks,Black children. Adapted from mixing Nigger with the word piglet (a baby pig)
nightclubbomber,Night Club Bomber,Muslims,Bali Bombing
nightfighter,Night Fighter,Black,Was probably originally coined in the Boer War when the British/Afrikaaneers were fighting the Zulus
night-rider,Night-Rider,Whites,White women who date Black men.
nightcrawler,Nightcrawler,Blacks,Out at night
nightlite,Nightlite,Whites,White people that live in Africa are brighter than others at night
niglige,Niglige,Blacks,This describes the snow that piles up on the side of the street that turns black.  To make a black snowman you use niglige.
nigloo,Nigloo,Blacks,In northern Canada it refers to Blacks living way up north in the cold with the Eskimos.
nignorant,Nignorant,Blacks,Nigger + ignorant.
nigonometry,Nigonometry,Blacks,Blacks who are scholars at math.
nigook,Nigook,Mixed Races,Nigger + gook. Self explanatory.
nigra,Nigra,Blacks,Used by Whites in the Jim Crow South who were too lace-curtain to say nigger but too racist to say Negro.
nigress,Nigress,Blacks,Black women. Nigress is to Nigger as Tigris is to Tiger.
nike,Nike,Mixed Races,Nigger + Kike = Nike
niknok,Niknok,Blacks,Dutch version of Nigger.
nikon,Nikon,Asians,Popular brand of camera. Asian tourists are known to take a lot of photographs.
nilla,Nilla,Whites,Used by white people to describe other white people is offensive if black people say it to whites. (i.e. sup mah nilla?) Mocking the fact that its offensive to blacks when whites say nigger. Reference to the coloring of vanilla flavored foods.
nina,Nina,Irish,No Irish Need Apply (from the days of the potato famine and they immigrated to the US and nobody wanted to hire them)
nineiron,Nine Iron,Asians,Golf club with a dramatic degree of loft ostensibly resembling stereotypical Asian 'slanted' eyes. As slanted as...
nineteens(19's),Nineteens (19's),Blacks,When choosing an exterior color for a Cadillac a popular car amongst Blacks the color code for black is 19.
ninja,Ninja,Asians,The idea of ninjas comes from Asia
ninja,Ninja,Blacks,Ninjas wear black clothing.
nink,Nink,Chinese,Chinese person acting Black
ninky,Ninky,Mixed Races,Black/White mix. See Carlton or Zebra. It can be both.
nip,Nip,Japanese,Shortened version of Nipponese(the former name for the Japanese.
nip/nipper,Nip/Nipper,Japanese,Short for Nippon meaning Japan.
niponese,Niponese,Japanese,Used instead of 'Japanese.'
nipper,Nipper,Japanese,They live in Japan also known as Nippon.
nippopotomus,Nippopotomus,Japanese,A Japanese person of robust proportions.
niptai,Niptai,Mixed Races,Japanese/Thailandese
nit,Nit,Native Americans,Chivington ordered him men: kill and scalp all big and little; nits make lice just before the Sand Creek massacre in 1864. This was an explination as to why troops were ordered to kill Indian children.
nitch,Nitch,Blacks,The females. Nigger-Bitch.
nog,Nog,Blacks,Stands for Nigger Out of Gas. Used by White police officers to describe Blacks who run out of gas and wait for the police to supply them some which supposedly by law they have to do.
nola,NOLA,Blacks,Hurricane Katrina evacuees
non,Non,Whites,Used by Native Americans to describe people who are non-native. This can be directed at any race but primarily used toward whites. Simply a descriptive word used from native to native.
nonswimmer,Nonswimmer,Blacks,You don't often see Black swimming
nooc,Nooc,Blacks,Coon backwards
noodlenigger,Noodle Nigger,Chinese,Self Explanatory
nooger,Nooger,Chinese,Noodle-nigger.
noogin,Noogin,Norwegians,Columnist Mike Royko invented this one claiming that there were no insults for Norwegians because they were too well-liked and nice. So he made this one up for a 1978 column.
norbagge,Norbagge,Norwegians,Used in Sweden to describe Norwegians
nordski,Nordski,Scandinavians,They come from da Nord.
nork,Nork,North Koreans,Self Explanatory
norsk,Norsk,Norwegians,One of the words used by the Swedes for Norwegians
norsky,Norsky,Norwegians,Shortened/derogatory slang term
northmexican,North Mexican,Canadians,Because Canada is on the north side of the U.S. Border
november,November,Blacks,In the phonetic alphabet nigger is spelled: November - India - Golf - Golf - Echo - Romeo
nubianprincess,Nubian Princess,Blacks,Originally was a compliment for Black women grew popularity from the movie Friday then was commonly used mockingly under mentality that a Nubian meaning African even with a title of princess is still a Nigger.
number2,Number 2,Blacks,Usually when checking off racial or ethnic background African-American is the second choice.
nunga,Nunga,Australian Aboriginals,Originally an Aboriginal name for themselves as a people; used by others however it is considered derogatory.
nuprin,Nuprin,Asians,Little yellow different.
nurple,Nurple,Blacks,African Blacks specifically. So black they appear purple.
o.j.,O.J.,Blacks,From the football star/accused murderer O.J. Simpson.
o.t.w.,O.T.W.,Blacks,Other Than White. Could be used for any non-caucasian race
oartuggers,Oar Tuggers,Blacks,Self explanatory
obg,OBG,Blacks,Original Blue Gums. Refering to the color of thier gums
ocnod,Ocnod,Arabs,A bastardization of Achnad a common Arab name.
octoroon,Octoroon,Mixed Races,A person who is 1/8th Black. Originated by the Spanish in the 14th/15th century as they were very exact in their racial classifications to determine a person's worth in society.
ofay,Ofay,Whites,Used to be popular with political types who were down with their African Roots. Made popular in the play A Raisin in the Sun.  Possibly of Creole origin meaning something similar to foe.
offbeat,Off Beat,Whites,White people can't dance (well).
off-white,Off-White,Mediterraneans,Darker skin yet still called white
oilbaron,Oil Baron,Arabs,Self explanatory
oiljunky,Oil Junky,Americans,The United States is a major consumer of oil.
oilslick,Oil Slick,Blacks,A very dark skinned black person who is sweaty making his skin slippery.
oldbrowntucker,Old Brown Tucker,Blacks,Slur for an old African American man. Comes from a popular song during the time of the Civil War.
oldfig,Old Fig,Whites,Figs are white cookies; used by the infamous Word Association skit on Saturday Night Live with Chevy Chase and Richard Pryor
olejnik,Olejnik,Slovakians,Coined from the famous Peter Olejnik Hatred fund
olivenigger,Olive Nigger,Greeks,Greece is renowned for its olives.
olive-picker,Olive-Picker,Greeks,Large amount of olives
olympican,Olympican,Mexicans,From the joke Why are there no Mexicans in the olympics? Because every Mexican who can run jump or swim is in this country!
omarosa,Omarosa,Blacks,Bitchy black woman from the TV show The Apprentice
onionhead,Onionhead,Urkranians,Based on their buildings having large onion-type roofs
